YEAR,MONTH,BENE_STATE_ABRVTN,BENE_STATE_DESC,TOT_BENES,ORGNL_MDCR_BENES,MA_AND_OTH_BENES,ma_penetration
2013,March,AZ,Arizona,1039844.0,650847.0,388997.0,0.3740916906766784
2013,March,AR,Arkansas,568884.0,465276.0,103608.0,0.18212500263674142
2013,March,CA,California,5241636.0,3292762.0,1948874.0,0.3718064360058577
2013,March,CO,Colorado,711346.0,462277.0,249069.0,0.3501376264152747
2013,March,CT,Connecticut,603588.0,465290.0,138298.0,0.2291264902549421
2013,March,DE,Delaware,166144.0,154433.0,11711.0,0.07048704738058552
2013,March,DC,District of Columbia,83117.0,74228.0,8889.0,0.1069456308577066
2013,March,FL,Florida,3723881.0,2391404.0,1332477.0,0.3578194362279568
2013,March,GA,Georgia,1397414.0,1033274.0,364140.0,0.2605813309441583
2013,March,HI,Hawaii,227248.0,123515.0,103733.0,0.4564748644652538
2013,March,ID,Idaho,257424.0,179841.0,77583.0,0.30138215550997577
2013,March,IL,Illinois,1968123.0,1748162.0,219961.0,0.11176181569952691
2013,March,IN,Indiana,1085336.0,854088.0,231248.0,0.21306581556310672
2013,March,IA,Iowa,545485.0,468169.0,77316.0,0.14173808629018214
2013,March,KS,Kansas,462417.0,403731.0,58686.0,0.12691142410421763
2013,March,KY,Kentucky,820351.0,632924.0,187427.0,0.22847171515607342
2013,March,LA,Louisiana,741576.0,544870.0,196706.0,0.26525399959006224
2013,March,ME,Maine,288569.0,237899.0,50670.0,0.17559058665345204
2013,March,MD,Maryland,866597.0,790445.0,76152.0,0.08787475608616231
2013,March,MA,Massachusetts,1146918.0,935754.0,211164.0,0.18411429587817088
2013,March,MI,Michigan,1789508.0,1304477.0,485031.0,0.27104153767404227
2013,March,MN,Minnesota,855355.0,434329.0,421026.0,0.49222369659381193
2013,March,MS,Mississippi,531607.0,463890.0,67717.0,0.12738169361953472
2013,March,MO,Missouri,1078580.0,813251.0,265329.0,0.24599844239648427
2013,March,MT,Montana,186418.0,157402.0,29016.0,0.15565020545226319
2013,March,NE,Nebraska,296297.0,260209.0,36088.0,0.12179671073281201
2013,March,NV,Nevada,408920.0,279497.0,129423.0,0.31649955981610095
2013,March,NH,New Hampshire,243644.0,229829.0,13815.0,0.05670158099522254
2013,March,NJ,New Jersey,1420628.0,1194820.0,225808.0,0.15894942236813578
2013,March,NM,New Mexico,344310.0,244324.0,99986.0,0.2903952833202637
